ID,Lon,Lat,Observations,RF,RK_RF,LMM
1,4.48,8.49,253.0,189.1376495361328,210.83897399902344,179.7355194091797
2,30.09,-20.27,22.0,23.5093994140625,21.094812393188477,23.65787696838379
3,32.96,0.46,245.0,221.32177734375,237.8213653564453,148.87753295898438
4,39.82,13.54,185.0,41.1627311706543,55.72146987915039,70.80564880371094
5,2.3,6.5,120.0,177.0624542236328,188.21726989746094,161.5250701904297
6,34.45,2.45,30.0,72.24567413330078,58.64592742919922,46.649436950683594
7,25.69,-25.12,11.0,13.19974136352539,12.411593437194824,12.997137069702148
8,24.7,-24.53,4.0,5.114158630371094,4.2063398361206055,6.317509174346924
9,29.56,-23.67,48.0,28.80445098876953,26.413753509521484,24.865535736083984
10,25.98,-32.71,4.5,34.006534576416016,23.390581130981445,11.414817810058594
11,34.7,-4.6,25.0,41.25276184082031,33.706275939941406,29.817337036132812
12,30.84,13.37,6.0,12.287144660949707,10.028038024902344,7.4352216720581055
13,33.57,-13.6,114.0,98.71623992919922,110.02041625976562,88.3454360961914
15,31.3,27.26,1.5,1.428367257118225,1.5675718784332275,1.7001979351043701
16,2.5,13.5,20.0,27.64801025390625,25.743749618530273,22.759017944335938
17,29.81,-0.66,104.0,68.56425476074219,53.916961669921875,82.14595794677734
18,26.65,-22.42,4.0,11.39266300201416,9.939254760742188,6.706508159637451
19,35.7,-5.99,16.0,29.45993423461914,23.041275024414062,21.75065803527832
20,30.75,-20.75,22.0,27.767606735229492,25.917665481567383,27.94883918762207
21,11.0,13.25,44.0,14.949295997619629,25.538869857788086,31.894458770751953
22,25.67,-25.15,18.0,13.19974136352539,12.411593437194824,12.997137069702148
24,-9.02,30.44,14.0,9.104851722717285,13.214842796325684,14.580262184143066
25,25.0,-18.88,8.0,21.88248062133789,19.053071975708008,9.7440185546875
26,29.97,27.74,1.3,1.0792841911315918,1.1232987642288208,0.731126606464386
27,32.79,2.05,200.0,191.710693359375,196.79733276367188,134.73855590820312
30,28.78,-14.47,80.0,58.603233337402344,62.57024002075195,72.8798828125
31,26.69,-29.57,13.0,30.330053329467773,23.152193069458008,17.753694534301758
32,30.7,-0.08,17.0,61.786529541015625,37.387996673583984,47.67965316772461
33,24.93,-24.03,5.0,6.166410446166992,4.873229026794434,5.384891510009766
34,33.8,15.9,0.6,3.2719476222991943,2.023482322692871,1.9475691318511963
35,-16.31,15.99,10.8,10.98906135559082,12.06960391998291,11.090285301208496
36,2.06,13.26,13.0,25.40005874633789,18.69329071044922,23.812763214111328
37,-0.68,14.19,136.0,23.491785049438477,46.97969055175781,57.33831024169922
38,25.02,-24.1,11.0,6.477704048156738,5.356212139129639,5.628386497497559
39,-1.28,10.2,82.0,98.37306213378906,88.57237243652344,83.61315155029297
41,10.5,33.3,2.0,3.3058314323425293,2.6259305477142334,2.0095982551574707
42,33.58,1.74,147.0,168.8761444091797,163.81785583496094,136.32196044921875
43,10.45,12.81,14.0,15.630659103393555,30.914274215698242,39.49530029296875
44,1.75,9.75,147.0,111.80107116699219,109.69070434570312,104.55686950683594
45,22.58,-32.35,11.8,6.40244197845459,5.157995223999023,11.11789608001709
46,19.33,-33.16,48.0,50.504947662353516,72.5163345336914,46.501197814941406
47,20.5,-19.6,11.5,10.552658081054688,9.559779167175293,8.281564712524414
48,15.3,-4.5,420.0,249.80577087402344,310.22491455078125,255.5070037841797
49,43.1,11.45,5.0,1.6764572858810425,1.8105746507644653,6.280092716217041
51,-0.33,5.83,125.0,181.99839782714844,151.30848693847656,122.36988830566406
52,-0.86,10.79,71.0,84.3018569946289,76.49243927001953,84.1646957397461
53,-3.02,16.7,25.0,5.9583306312561035,7.030036926269531,7.2457709312438965
54,17.7,-19.7,20.0,20.901378631591797,27.55117416381836,24.166276931762695
55,19.8,-25.8,4.5,4.278936386108398,4.005985260009766,4.883797645568848
56,19.58,-29.75,3.0,2.2299749851226807,1.7397834062576294,2.5768401622772217
57,17.79,-30.29,0.62,3.4826338291168213,1.6151669025421143,2.216618776321411
58,26.5,-26.0,54.0,42.035152435302734,45.06292724609375,30.852108001708984
