ID,Lon,Lat,Observations,RF,RK RF,LMM
1,4.48,8.49,253,195.469421386719,208.532913208008,179.73551940918
2,30.09,-20.27,22,22.1140918731689,21.9305267333984,23.6578769683838
3,32.96,0.46,245,233.29963684082,227.754287719727,148.877532958984
4,39.82,13.54,185,39.4826774597168,55.0799140930176,70.8056488037109
5,2.3,6.5,120,188.697402954102,186.04670715332,161.52507019043
6,34.45,2.45,30,70.9940032958984,59.5489540100098,46.6494369506836
7,25.69,-25.12,11,11.9991245269775,12.1530466079712,12.9971370697022
8,24.7,-24.53,4,4.41043472290039,3.94742131233215,6.31750917434692
9,29.56,-23.67,48,25.844181060791,26.7702865600586,24.865535736084
10,25.98,-32.71,4.5,32.4440994262695,24.3440494537354,11.4148178100586
11,34.7,-4.6,25,38.0815620422363,34.1750411987305,29.8173370361328
12,30.84,13.37,6,13.2429714202881,9.90587997436523,7.43522167205811
13,33.57,-13.6,114,110.287651062012,109.934753417969,88.3454360961914
15,31.3,27.26,1.5,1.57566940784454,1.59715223312378,1.70019793510437
16,2.5,13.5,20,30.9956836700439,26.0251541137695,22.7590179443359
17,29.81,-0.66,104,57.9348373413086,55.3629302978516,82.1459579467773
18,26.65,-22.42,4,11.0581645965576,9.39414119720459,6.70650815963745
19,35.7,-5.99,16,26.7030582427979,23.5211639404297,21.7506580352783
20,30.75,-20.75,22,27.7135486602783,26.0217208862305,27.9488391876221
21,11,13.25,44,17.3166732788086,23.4422607421875,31.894458770752
22,25.67,-25.15,18,11.9991245269775,12.1530466079712,12.9971370697022
24,-9.02,30.44,14,10.2465963363647,12.8514862060547,14.5802621841431
25,25,-18.88,8,23.3226089477539,19.8583793640137,9.7440185546875
26,29.97,27.74,1.3,1.04381585121155,1.11019706726074,0.731126606464386
27,32.79,2.05,200,196.576538085937,190.148651123047,134.738555908203
30,28.78,-14.47,80,58.6609039306641,62.6762390136719,72.8798828125
31,26.69,-29.57,13,31.0740756988525,23.8593730926514,17.7536945343018
32,30.7,-0.08,17,55.4816436767578,39.9547271728516,47.6796531677246
33,24.93,-24.03,5,5.51657915115356,4.81108474731445,5.38489151000977
34,33.8,15.9,0.6,2.9286789894104,1.9858729839325,1.9475691318512
35,-16.31,15.99,10.8,12.3472061157227,12.1419897079468,11.0902853012085
36,2.06,13.26,13,23.4489727020264,19.9849510192871,23.8127632141113
37,-0.68,14.19,136,27.6448383331299,43.4909439086914,57.3383102416992
38,25.02,-24.1,11,5.95089721679688,5.29872989654541,5.62838649749756
39,-1.28,10.2,82,102.095657348633,90.2286758422852,83.613151550293
41,10.5,33.3,2,2.99700999259949,2.68108248710632,2.00959825515747
42,33.58,1.74,147,173.435317993164,165.018035888672,136.321960449219
43,10.45,12.81,14,20.2440166473389,27.7102203369141,39.4953002929687
44,1.75,9.75,147,115.889305114746,107.493774414063,104.556869506836
45,22.58,-32.35,11.8,5.04707050323486,4.96110820770264,11.1178960800171
46,19.33,-33.16,48,65.9746170043945,71.153678894043,46.5011978149414
47,20.5,-19.6,11.5,10.0205612182617,9.5161018371582,8.28156471252441
48,15.3,-4.5,420,267.920654296875,304.381774902344,255.50700378418
49,43.1,11.45,5,1.39836394786835,1.87266337871552,6.28009271621704
51,-0.33,5.83,125,172.421890258789,150.58821105957,122.369888305664
52,-0.86,10.79,71,85.9437942504883,77.2379684448242,84.1646957397461
53,-3.02,16.7,25,5.68465805053711,7.15144920349121,7.2457709312439
54,17.7,-19.7,20,23.3667392730713,27.0076332092285,24.1662769317627
55,19.8,-25.8,4.5,4.09488487243652,4.02835035324097,4.88379764556885
56,19.58,-29.75,3,1.77948260307312,1.68155026435852,2.57684016227722
57,17.79,-30.29,0.62,2.69883728027344,1.7084059715271,2.21661877632141
58,26.5,-26,54,42.5011177062988,44.664737701416,30.852108001709
59,31.26,-28.27,92,52.2838745117187,50.9241905212402,65.7109603881836
60,18.48,-32.2,3.5,5.44734573364258,5.1366081237793,9.3679838180542
61,23.5,-27.44,9,16.4473514556885,16.0736541748047,12.2234373092651
62,22.83,-27.24,29,8.76211833953857,10.1792230606079,11.8092174530029
63,19.24,-33.28,156,50.4361953735352,55.7400550842285,63.7438087463379
64,20.53,-33.65,13,11.4076108932495,11.01331615448,18.5795345306396
65,10.34,12.68,130,32.2374610900879,48.1328353881836,44.8709602355957
66,30.7,-18.42,95,39.2302131652832,51.6923675537109,59.0754661560059
67,28.23,-19.83,22,23.5758361816406,22.7458591461182,19.6591968536377
68,1.31,6.48,63,110.96508026123,100.106956481934,101.436103820801
69,38.84,8.94,198,147.370712280273,168.621719360352,129.517044067383
70,-0.86,10.33,130,113.637138366699,104.126136779785,84.7511596679687
71,-0.85,9.43,32,69.5381393432617,53.8024063110352,70.1022720336914
72,19.31,-19.9,1.4,7.78253221511841,5.4863748550415,6.67844772338867
73,10.31,6.44,941,252.442810058594,346.12890625,453.083618164063
74,10.44,5.99,251,278.974639892578,326.7822265625,298.494262695312
75,11.55,3.8,87,275.956176757813,205.575012207031,131.779708862305
76,14.34,10.6,77,64.4854354858398,69.2305755615234,67.9853210449219
